,points,+/-
America,29.0,4.99835368291796
Atlas,27.0,5.008196584902897
Cruz_Azul,29.0,5.4373776837806735
Guadalajara,29.0,5.443339870791548
Leon,30.0,5.2155414745616655
Monterrey,30.0,4.956810362417446
Pachuca,28.0,5.226742277445371
Puebla,27.0,5.08994809124529
Pumas_UNAM,26.0,4.92763082480268
Queretaro,25.0,5.154118735529861
Santos_Laguna,26.200000000000045,4.846346156752639
Tijuana,26.0,5.259742949602756
Toluca,27.0,4.702552285514537
UANL,28.0,4.912515833237774
Necaxa,26.0,5.033962631941141
Atletico,26.0,5.1946206872190475
FC_Juarez,24.0,4.900303253062199
Mazatlan,23.0,5.164508025276284
