,¿Cuántos puntos hace una temporada promedio?,¿Cuántos partidos suele ganar?,¿Cuántos partidos suele perder?,¿Cuántos partidos suele empatar?,¿Cuántos goles anota?,¿Cuántos goles recibe?,¿Cuál es su mejor temporada?,¿Cuál es su mejor año?,"¿Su último año ha sido igual al esperado, arriba o abajo?",¿Contra qué equipo tiene mejores resultados?,¿Contra qué equipo tiene peores resultados?,¿Cuál es el equipo que más les cuesta visitar?,¿Cuál es el equipo que más se les facilita visitar?,¿Cuál es el equipo que más les cuesta vencer en casa?,¿Cuál es el equipo que más se les facilita en casa?
America,29.0,9.0,4.0,5.0,28.0,17.0,2023-2024-Apertura,2023-2024,Mejor,['Atlético'],['León'],['Monterrey'],['Atlético'],['Pachuca'],['Tijuana']
Atlas,18.0,5.0,8.0,5.0,18.0,23.0,2021-2022-Apertura,2021-2022,Peor,['FC Juárez'],['Mazatlán'],['Mazatlán'],['Querétaro'],['Mazatlán'],['FC Juárez']
Cruz_Azul,23.0,7.0,6.0,5.0,22.0,21.0,2018-2019-Apertura,2018-2019,Mejor,['Atlético' 'FC Juárez'],['América'],['Pachuca'],['Toluca'],['América'],['FC Juárez']
Guadalajara,23.0,7.0,6.0,5.0,21.0,19.0,2022-2023-Clausura,2023-2024,Mejor,['FC Juárez'],['UANL'],['UANL'],['FC Juárez'],['UANL'],['Mazatlán']
Leon,25.0,7.0,6.0,4.0,25.0,22.0,2018-2019-Clausura,2019-2020,Peor,['Necaxa'],['Monterrey' 'UNAM'],['Pachuca'],['Necaxa'],['Monterrey' 'UNAM'],['Atlético' 'FC Juárez']
Monterrey,28.0,9.0,4.0,5.0,28.0,18.0,2022-2023-Clausura,2022-2023,Mejor,['Atlas' 'Pachuca'],['Guadalajara'],['Toluca'],['Mazatlán'],['Guadalajara'],['FC Juárez' 'UNAM']
Pachuca,25.0,7.0,6.0,5.0,26.0,22.0,2021-2022-Clausura,2022-2023,Mejor,['Puebla'],['Monterrey'],['Monterrey'],['Atlético' 'FC Juárez'],['Monterrey'],['León' 'Tijuana']
Puebla,19.0,5.0,7.0,5.0,21.0,25.0,2015-2016-Apertura,2021-2022,Peor,['Mazatlán'],['Atlético'],['Atlético'],['FC Juárez'],['Necaxa'],['Mazatlán']
Pumas_UNAM,21.0,6.0,6.0,5.0,23.0,23.0,2015-2016-Apertura,2015-2016,Mejor,['León'],['Monterrey'],['Monterrey'],['Mazatlán'],['Puebla'],['FC Juárez']
Queretaro,18.0,5.0,7.0,6.0,18.0,23.0,2019-2020-Apertura,2019-2020,Mejor,['FC Juárez'],['Atlas'],['Monterrey' 'UANL'],['FC Juárez'],['Atlas'],['Atlético' 'FC Juárez']
Santos_Laguna,22.0,7.0,6.0,5.0,25.0,23.0,2019-2020-Apertura,2019-2020,Peor,['Mazatlán'],['América'],['América'],['Atlético'],['Necaxa'],['FC Juárez' 'Mazatlán']
Tijuana,20.0,6.0,7.0,5.0,19.0,24.0,2016-2017-Apertura,2016-2017,Peor,['Atlas'],['UANL'],['América'],['Atlas' 'Cruz Azul'],['UANL'],['Atlético' 'FC Juárez']
Toluca,25.0,7.0,6.0,5.0,24.0,21.0,2017-2018-Clausura,2017-2018,Mejor,['Atlético'],['América' 'León'],['León' 'Monterrey'],['Atlético'],['FC Juárez'],['Atlético' 'Tijuana']
UANL,28.0,8.0,4.0,5.0,26.0,16.0,2018-2019-Clausura,2018-2019,Mejor,['Mazatlán'],['Toluca'],['Pachuca' 'Toluca'],['Mazatlán'],['América' 'Puebla' 'Toluca'],['Tijuana']
Necaxa,20.0,6.0,6.0,6.0,21.0,21.0,2019-2020-Apertura,2019-2020,Mejor,['Atlético'],['León'],['América' 'Pachuca'],['Atlético'],['León'],['Atlético' 'Mazatlán' 'UNAM']
Atletico,18.0,5.0,8.0,4.0,19.0,23.0,2021-2022-Clausura,2021-2022,Mejor,['Puebla'],['América'],['Cruz Azul' 'León' 'Toluca'],['Atlas' 'Guadalajara' 'Pachuca' 'Puebla'],['América'],['Mazatlán' 'Puebla']
FC_Juarez,14.0,4.0,9.0,4.0,16.0,23.0,2022-2023-Apertura,2019-2020,Mejor,['Atlético'],['América' 'Atlas' 'Monterrey' 'UANL'],['Cruz Azul' 'Monterrey' 'Santos'],['Atlético' 'Mazatlán' 'Toluca'],['América' 'Guadalajara' 'UANL'],['Santos' 'UNAM']
Mazatlan,15.0,4.0,8.0,4.0,18.0,26.0,2023-2024-Apertura,2021-2022,Mejor,['Atlas'],['UANL'],['Atlético' 'Puebla' 'Santos'],['Atlas'],['UANL'],['Atlas']
